"ensembl_gene_id","primary_log2FC","direction_retention_fraction","loo_min_log2FC","loo_max_log2FC","loo_max_absolute_change","loo_median_absolute_change","loo_FDR_lt_0_05_fraction","gene_symbol","gene_biotype","mapping_status"
"ENSG00000164924",0.0752439322470046,0.68421052631579,0.0149360044220568,0.123286297781375,0.0603079278249478,0.0186130551929927,0,"YWHAZ","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000214182",0.0928726362563215,0.894736842105263,0.0204317650934746,0.131966860624585,0.0724408711628469,0.0160203205095394,0,"PTMAP5","transcribed_processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000156052",0.182704587368846,1,0.0901203923684391,0.207497784271831,0.0925841950004068,0.0141224302715336,0,"GNAQ","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000213087",-0.0590934139793218,0.81578947368421,-0.1645162073718,-0.00728575854364015,0.105422793392478,0.0179479611827675,0,"AL356535.1","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000119396",-0.0533980847063052,0.81578947368421,-0.0997841739758909,-0.03558443889279,0.0463860892695857,0.0120833568039983,0,"RAB14","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000134333",-0.0325440895506902,0.631578947368421,-0.126710791324133,0.0578158819667012,0.0941667017734425,0.019329082685462,0,"LDHA","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000148672",0.104042504225018,1,0.0546742332235491,0.123693528046251,0.0493682710014692,0.0140384493265752,0,"GLUD1","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000008988",-0.203440754895044,1,-0.326086721926443,-0.154503896643394,0.122645967031399,0.0185896059732151,0,"RPS20","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000134046",-0.102782735352442,1,-0.197166927684865,-0.0608202677002031,0.0943841923324228,0.0167334148488661,0,"MBD2","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000173369",-0.125342223542112,0.894736842105263,-0.445635466161839,0.134783801301844,0.320293242619727,0.0230947794990774,0,"C1QB","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000144381",-0.2620177830826,1,-0.313799039701157,-0.222371835014222,0.0517812566185569,0.0148069138555209,0,"HSPD1","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000213326",-0.186779569721279,1,-0.288781017943195,-0.137398358888707,0.102001448221916,0.0155966368162702,0,"RPS7P11","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000202314",-0.61639059898909,1,-0.977057719566034,-0.418438226909121,0.360667120576943,0.0203333062398514,0.0263157894736842,"SNORD6","snoRNA","MAPPED_EXACT_VERSION"
"ENSG00000198380",0.531316625775995,1,0.450504919730688,0.682737554098932,0.151420928322937,0.0280624132886259,0,"GFPT1","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000115053",-0.292119574075921,1,-0.357042664867664,-0.234379110438103,0.0649230907917439,0.016210254366709,0,"NCL","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
