"ensembl_gene_id","gene_symbol","log2_fold_change_no_zone","BH_FDR_no_zone","log2_fold_change_adjusted","BH_FDR_adjusted","no_zone_significant","attenuated","direction_reversed"
"ENSG00000198839","ZNF277",0.0766986578057092,0.509998834901747,-0.0938168639506803,0.700989011245191,FALSE,FALSE,TRUE
"ENSG00000198840","MT-ND3",0.56888825836376,0.0203710133430787,-0.131283154049384,0.787404745550213,TRUE,TRUE,TRUE
"ENSG00000198841","KTI12",0.068740493122893,0.576458735281426,-0.10213343344771,0.674166690420614,FALSE,FALSE,TRUE
"ENSG00000198843","SELENOT",0.182529691965889,0.102162305684983,-0.065572468389762,0.7905177972349,FALSE,TRUE,TRUE
"ENSG00000198846","TOX",1.36658404478762,0.0000577621945052099,0.311448550417664,0.502320060545952,TRUE,TRUE,FALSE
"ENSG00000198848","CES1",0.133494590858795,0.753075689851766,0.00945323267389604,0.991222901341857,FALSE,TRUE,FALSE
"ENSG00000198851","CD3E",-0.177685243103566,0.572429952866645,-0.55816205437987,0.396822399102217,FALSE,FALSE,FALSE
"ENSG00000198855","FICD",0.210786079815578,0.140041399196852,-0.125764730715038,0.682036237744241,FALSE,TRUE,TRUE
"ENSG00000198856","OSTC",0.154821540139723,0.194891043181586,-0.0410605311933742,0.895257460824032,FALSE,TRUE,TRUE
"ENSG00000198858","R3HDM4",-0.0436361448503831,0.758803624017725,-0.0624247130539288,0.840014393940515,FALSE,FALSE,FALSE
"ENSG00000198862","LTN1",0.118756396179695,0.509731483599871,0.106216801806462,0.793471317554108,FALSE,TRUE,FALSE
"ENSG00000198863","RUNDC1",0.339096269424362,0.0103796362013114,-0.00865531647364394,0.98081984840267,TRUE,TRUE,TRUE
"ENSG00000198868","MTND4LP30",0.655816175360358,0.00796079159382189,0.0617597817831981,0.906652807904233,TRUE,TRUE,FALSE
"ENSG00000198873","GRK5",0.0434740582508098,0.878035485440265,0.0283185858012847,0.964588336374514,FALSE,TRUE,FALSE
"ENSG00000198874","TYW1",0.173656578644431,0.148827257028164,-0.0881059081838894,0.718503444252143,FALSE,TRUE,TRUE
"ENSG00000198876","DCAF12",-0.182118049481499,0.143056221210364,-0.0391219395357005,0.902593422443756,FALSE,TRUE,FALSE
"ENSG00000198885","ITPRIPL1",0.643034788361357,0.0887172134141564,0.230485171032897,0.781430454160821,FALSE,TRUE,FALSE
"ENSG00000198886","MT-ND4",0.538680594974422,0.0022420631496374,0.0219032260287742,0.954720095414233,TRUE,TRUE,FALSE
"ENSG00000198887","SMC5",0.136852875626289,0.374707810644788,-0.0681666655930292,0.846736875746843,FALSE,TRUE,TRUE
"ENSG00000198888","MT-ND1",0.739027514190454,0.000473815500148107,0.097507936427411,0.763046255920362,TRUE,TRUE,FALSE
"ENSG00000198890","PRMT6",0.274910994312111,0.0887373981435011,0.151231708150357,0.659855699846104,FALSE,TRUE,FALSE
"ENSG00000198894","CIPC",-0.187436964341931,0.158543762772051,0.118857197705047,0.674125805398565,FALSE,TRUE,TRUE
"ENSG00000198898","CAPZA2",0.26609508115477,0.0423172153900616,0.173188455070136,0.522953251743145,TRUE,TRUE,FALSE
"ENSG00000198899","MT-ATP6",0.401487441665091,0.015812889034529,-0.0632597725231606,0.833066001653522,TRUE,TRUE,TRUE
"ENSG00000198900","TOP1",0.277063396580248,0.202646660670554,-0.0847305884501854,0.874072646836163,FALSE,TRUE,TRUE
"ENSG00000198901","PRC1",-0.20232162493506,0.445515714517694,0.156320709488121,0.780722861020242,FALSE,TRUE,TRUE
"ENSG00000198909","MAP3K3",-0.446057691520187,0.0170745337572055,0.116698439437313,0.754258118524005,TRUE,TRUE,TRUE
"ENSG00000198911","SREBF2",0.107442056345178,0.381804798946746,0.289320452761164,0.177208978274466,FALSE,FALSE,FALSE
"ENSG00000198917","SPOUT1",-0.132614366216263,0.254945236605797,-0.0528693755348245,0.865395958458026,FALSE,TRUE,FALSE
"ENSG00000198918","RPL39",-0.248533507506591,0.094132631629972,-0.129409717806626,0.683421565747479,FALSE,TRUE,FALSE
"ENSG00000198919","DZIP3",0.0863899229195107,0.651631789778889,-0.148646406146317,0.702763222653006,FALSE,FALSE,TRUE
"ENSG00000198920","KIAA0753",-0.0154164153128974,0.938094573219789,-0.0386440100847928,0.942621685931726,FALSE,FALSE,FALSE
"ENSG00000198925","ATG9A",-0.00301531878917691,0.981651886792487,0.175555043029699,0.402449031056873,FALSE,FALSE,TRUE
"ENSG00000198931","APRT",-0.167043945944705,0.179578909135322,-0.0260067466101718,0.93107121299293,FALSE,TRUE,FALSE
"ENSG00000198937","CCDC167",-0.403044034792629,0.00773802120733399,-0.169124729099433,0.575803455702322,TRUE,TRUE,FALSE
"ENSG00000198938","MT-CO3",0.563983028948612,0.00205712604185241,0.0492025090498806,0.902944028703554,TRUE,TRUE,FALSE
"ENSG00000198944","SOWAHA",4.04393677342066,0.0000261818082544779,0.784266532620433,0.275766928159816,TRUE,TRUE,FALSE
"ENSG00000198951","NAGA",0.348124783454738,0.000768608059708027,0.115051543662125,0.559645194883743,TRUE,TRUE,FALSE
"ENSG00000198952","SMG5",0.0960481416395804,0.281219960169432,-0.00422404979950384,0.98726830880017,FALSE,TRUE,TRUE
"ENSG00000198954","KIFBP",0.107087103354554,0.2973625651115,0.0524478329399113,0.834000390724166,FALSE,TRUE,FALSE
"ENSG00000198959","TGM2",-0.127023043284874,0.707425991919159,-0.0384650297115694,0.964588336374514,FALSE,TRUE,FALSE
"ENSG00000198960","ARMCX6",-0.385979152862257,0.000349590030764546,-0.0973535641444056,0.63989798380584,TRUE,TRUE,FALSE
"ENSG00000198961","PJA2",0.150598857505706,0.298738933409368,0.0766971781720828,0.827913186135231,FALSE,TRUE,FALSE
"ENSG00000198964","SGMS1",-0.408383099594429,0.0579672138207228,0.0309531959311676,0.963400290645397,FALSE,TRUE,TRUE
