"original_miRNA_id","normalized_miRNA_id","logFC_no_zone","BH_FDR_no_zone","logFC_adjusted","BH_FDR_adjusted","no_zone_significant","attenuated","direction_reversed"
"hsa-miR-1299:hsa-mir-1299","hsa-miR-1299",0.57986027128685,0.734301121436348,-0.598183437873718,0.954302845955942,FALSE,FALSE,TRUE
"hsa-miR-1301-3p:hsa-mir-1301","hsa-miR-1301-3p",0.0255564103141564,0.94669355900491,-0.134214674640776,0.954302845955942,FALSE,FALSE,TRUE
"hsa-miR-1303:hsa-mir-1303","hsa-miR-1303",0.194812216327759,0.832346407596613,0.554465830263888,0.913328740245061,FALSE,FALSE,FALSE
"hsa-miR-1304-5p:hsa-mir-1304","hsa-miR-1304-5p",0.726344168374466,0.493611472032779,0.614888812423522,0.948810508224733,FALSE,TRUE,FALSE
"hsa-miR-1306-3p:hsa-mir-1306","hsa-miR-1306-3p",-0.0224003140452479,0.969827903089842,0.0577980515814291,0.99698024720718,FALSE,FALSE,TRUE
"hsa-miR-1306-5p:hsa-mir-1306","hsa-miR-1306-5p",0.221478524406854,0.636655122975854,0.23445778878758,0.951185018782856,FALSE,FALSE,FALSE
"hsa-miR-1307-3p:hsa-mir-1307","hsa-miR-1307-3p",0.457155480024299,0.279519507432529,0.421813695031753,0.901138084350497,FALSE,TRUE,FALSE
"hsa-miR-1307-5p:hsa-mir-1307","hsa-miR-1307-5p",0.491893133408795,0.641072441503386,0.514680270664385,0.951185018782856,FALSE,FALSE,FALSE
"hsa-miR-130a-3p:hsa-mir-130a","hsa-miR-130a-3p",-0.468047647386082,0.241699391481321,-0.330851425438959,0.913328740245061,FALSE,TRUE,FALSE
"hsa-miR-130b-3p:hsa-mir-130b","hsa-miR-130b-3p",0.276956118011248,0.51855611774583,0.176039305482964,0.954302845955942,FALSE,TRUE,FALSE
"hsa-miR-130b-5p:hsa-mir-130b","hsa-miR-130b-5p",0.371674821933029,0.251182463533088,0.175461290380398,0.951185018782856,FALSE,TRUE,FALSE
"hsa-miR-132-3p:hsa-mir-132","hsa-miR-132-3p",0.26526705655577,0.620654623492948,-0.0844860381364944,0.989952442257322,FALSE,TRUE,TRUE
"hsa-miR-132-5p:hsa-mir-132","hsa-miR-132-5p",0.35233613705489,0.506755546027533,0.594068466811791,0.827381577615971,FALSE,FALSE,FALSE
"hsa-miR-133a-3p:hsa-mir-133a-1","hsa-miR-133a-3p",1.25719237520435,0.0460448117768644,0.651905457603757,0.827381577615971,TRUE,TRUE,FALSE
"hsa-miR-133b:hsa-mir-133b","hsa-miR-133b",1.68667260834254,0.025814006476144,1.81925964054276,0.444782861895594,TRUE,FALSE,FALSE
"hsa-miR-134-5p:hsa-mir-134","hsa-miR-134-5p",0.338365952043776,0.211377489269832,0.162061180013017,0.948810508224733,FALSE,TRUE,FALSE
"hsa-miR-1343-3p:hsa-mir-1343","hsa-miR-1343-3p",-0.565595661607267,0.662735028525786,-1.39086871496163,0.827381577615971,FALSE,FALSE,FALSE
"hsa-miR-135a-3p:hsa-mir-135a-1","hsa-miR-135a-3p",0.119487047145625,0.941404851824172,-2.08925189461111,0.444782861895594,FALSE,FALSE,TRUE
"hsa-miR-135a-5p:hsa-mir-135a-1","hsa-miR-135a-5p",0.0357120652382476,0.969827903089842,-0.313238415496302,0.954302845955942,FALSE,FALSE,TRUE
"hsa-miR-135b-3p:hsa-mir-135b","hsa-miR-135b-3p",-0.577349041780255,0.729726778174633,1.09878264096678,0.913328740245061,FALSE,FALSE,TRUE
"hsa-miR-135b-5p:hsa-mir-135b","hsa-miR-135b-5p",-1.10854249836652,0.0671429094820645,-0.220497356261192,0.954302845955942,FALSE,TRUE,FALSE
"hsa-miR-136-3p:hsa-mir-136","hsa-miR-136-3p",0.0366532884509175,0.962130730956057,-0.267939421394619,0.954302845955942,FALSE,FALSE,TRUE
"hsa-miR-136-5p:hsa-mir-136","hsa-miR-136-5p",-0.79909296560323,0.334575158261234,-1.1447993621247,0.744249746139783,FALSE,FALSE,FALSE
"hsa-miR-138-1-3p:hsa-mir-138-1","hsa-miR-138-1-3p",0.267829586640021,0.867109259300211,-0.712602795157693,0.951185018782856,FALSE,FALSE,TRUE
"hsa-miR-139-3p:hsa-mir-139","hsa-miR-139-3p",-0.0648139189763805,0.889422147057613,-0.0666651373376409,0.986722254188746,FALSE,FALSE,FALSE
"hsa-miR-139-5p:hsa-mir-139","hsa-miR-139-5p",-0.0449833258352198,0.889422147057613,-0.0746913782780212,0.961686339648352,FALSE,FALSE,FALSE
"hsa-miR-140-3p:hsa-mir-140","hsa-miR-140-3p",0.178376377562131,0.697893014100597,0.0375519565593806,0.99698024720718,FALSE,TRUE,FALSE
"hsa-miR-140-5p:hsa-mir-140","hsa-miR-140-5p",-0.0557331550716107,0.962130730956057,0.437107933966589,0.951185018782856,FALSE,FALSE,TRUE
"hsa-miR-141-3p:hsa-mir-141","hsa-miR-141-3p",0.380787431289797,0.601924395206168,0.0536820338666901,0.99698024720718,FALSE,TRUE,FALSE
"hsa-miR-142-3p:hsa-mir-142","hsa-miR-142-3p",-0.403362169886968,0.630119851787126,-0.941133097082108,0.827381577615971,FALSE,FALSE,FALSE
"hsa-miR-142-5p:hsa-mir-142","hsa-miR-142-5p",-0.214145313922306,0.77725876821194,-0.88474075980579,0.681874207663341,FALSE,FALSE,FALSE
"hsa-miR-143-3p:hsa-mir-143","hsa-miR-143-3p",0.311280131200038,0.508785176447443,0.155304575154206,0.954302845955942,FALSE,TRUE,FALSE
"hsa-miR-143-5p:hsa-mir-143","hsa-miR-143-5p",0.700703596585058,0.0370337069597441,0.802334228520649,0.444782861895594,TRUE,FALSE,FALSE
"hsa-miR-144-3p:hsa-mir-144","hsa-miR-144-3p",-1.07772862046219,0.288617319314835,-0.0112179557427529,0.998612650735802,FALSE,TRUE,FALSE
"hsa-miR-144-5p:hsa-mir-144","hsa-miR-144-5p",-1.01557517670186,0.148824804562336,-1.00460297777112,0.827381577615971,FALSE,TRUE,FALSE
"hsa-miR-145-3p:hsa-mir-145","hsa-miR-145-3p",0.200940964218096,0.743682513978121,0.0632658071966667,0.99698024720718,FALSE,TRUE,FALSE
"hsa-miR-145-5p:hsa-mir-145","hsa-miR-145-5p",0.297481684033551,0.626580291041456,0.100825790433333,0.986222444632175,FALSE,TRUE,FALSE
"hsa-miR-1468-5p:hsa-mir-1468","hsa-miR-1468-5p",0.44320836727876,0.186842670080837,-0.149173910095775,0.954302845955942,FALSE,TRUE,TRUE
"hsa-miR-146a-5p:hsa-mir-146a","hsa-miR-146a-5p",-0.182797794142058,0.667571131911912,-0.663137585303764,0.444782861895594,FALSE,FALSE,FALSE
"hsa-miR-146b-3p:hsa-mir-146b","hsa-miR-146b-3p",-0.533973339879528,0.334575158261234,-0.625439826049839,0.827381577615971,FALSE,FALSE,FALSE
"hsa-miR-146b-5p:hsa-mir-146b","hsa-miR-146b-5p",-0.312361968042069,0.574305360571869,-0.67685815436321,0.824407689404813,FALSE,FALSE,FALSE
"hsa-miR-148a-3p:hsa-mir-148a","hsa-miR-148a-3p",0.716230728584172,0.236498791637018,0.177021296019247,0.961686339648352,FALSE,TRUE,FALSE
