module_id,module_name,source_library,source_term,source_gene_symbol
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),KLF4
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),LRG1
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),MDK
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),MTDH
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),MYDGF
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),NINJ1
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),NODAL
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),NOS3
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),NTRK1
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),PAK4
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),PDCD6
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),PDCL3
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),PDPK1
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),PIK3CD
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),PIK3R6
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),PKM
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),PLCG1
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),PRKCA
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),PRKCB
